GEMS Station Number,Local Station Number,Country Name,Water Type,Station Identifier,Station Narrative,Water Body Name,Main Basin,Upstream Basin Area,Elevation,Monitoring Type,Date Station Opened,Responsible Collection Agency,Latitude,Longitude,River Width,Discharge,Max. Depth,Lake Area,Lake Volume,Average Retention,Area of Aquifer,Depth of Impermeable Lining,Production Zone,Mean Abstraction Rate,Mean Abstraction Level
FRA01036,FRFLS1205023,France,Lake station,ETANG DE CARCANS HOURTIN,,,,,12,TREND,,European Environment Agency,45.13721,-1.1091,,,,,,,,,,,
FRA01037,FRFLS1215013,France,Lake station,ETANG DE LACANAU,,,,,11,TREND,,European Environment Agency,44.96908,-1.11823,,,,,,,,,,,
FRA01038,FRFLS3025003,France,Lake station,ETANG DE CAZAUX SANGUINET,,,,,20,TREND,,European Environment Agency,44.48165,-1.13695,,,,,,,,,,,
FRA01039,FRFLS3105033,France,Lake station,PETIT ETANG DE BISCARROSSE,,,,,20,TREND,,European Environment Agency,44.40301,-1.17845,,,,,,,,,,,
FRA01040,FRFLS31-4003,France,Lake station,ETANG DE PARENTIS BISCARROSSE,,,,,18,TREND,,European Environment Agency,44.34916,-1.15068,,,,,,,,,,,
FRA01041,FRFLS32-4003,France,Lake station,ETANG D AUREILHAN,,,,,4,TREND,,European Environment Agency,44.22536,-1.20622,,,,,,,,,,,
FRA01042,FRFLS41-4143,France,Lake station,ETANG DE LEON,,,,,3,TREND,,European Environment Agency,43.8948,-1.31849,,,,,,,,,,,
FRA01043,FRFLS42-4003,France,Lake station,ETANG DE SOUSTONS,,,,,4,TREND,,European Environment Agency,43.7705,-1.32787,,,,,,,,,,,
FRA01044,FRFLS4265013,France,Lake station,ETANG BLANC,,,,,9,TREND,,European Environment Agency,43.70888,-1.36343,,,,,,,,,,,
FRA01045,FRFLS4325003,France,Lake station,ETANG D YRIEU,,,,,42,TREND,,European Environment Agency,43.56616,-1.41846,,,,,,,,,,,
FRA01046,FRFR05000150,France,River station,SAINT NADEAU,,,,,6,TREND,,European Environment Agency,45.75724,-0.95271,,,,,,,,,,,
FRA01047,FRFR05000245,France,River station,GUE CHARREAU,,,,,4,TREND,,European Environment Agency,46.05486,-0.8372,,,,,,,,,,,
FRA01048,FRFR05001800,France,River station,LES ROCHERS,,,,,9,TREND,,European Environment Agency,45.82131,-0.86717,,,,,,,,,,,
FRA01049,FRFR05002500,France,River station,VINCONS,,,,,3,TREND,,European Environment Agency,45.92136,-0.77342,,,,,,,,,,,
FRA01050,FRFR05004000,France,River station,SAINT JULIEN,,,,,15,TREND,,European Environment Agency,45.93414,-0.49549,,,,,,,,,,,
FRA01051,FRFR05005350,France,River station,LE CHAUMEAU,,,,,68,TREND,,European Environment Agency,46.20994,-0.24159,,,,,,,,,,,
FRA01052,FRFR05005400,France,River station,SECONDIGNE,,,,,47,TREND,,European Environment Agency,46.16827,-0.29184,,,,,,,,,,,
FRA01053,FRFR05005950,France,River station,BRIOUX,,,,,58,TREND,,European Environment Agency,46.14414,-0.21751,,,,,,,,,,,
FRA01054,FRFR05006100,France,River station,PONT NEUF,,,,,74,TREND,,European Environment Agency,46.10919,-0.11117,,,,,,,,,,,
FRA01055,FRFR05006880,France,River station,FEVRIERS,,,,,10,TREND,,European Environment Agency,45.86422,-0.64433,,,,,,,,,,,
FRA01056,FRFR05006900,France,River station,TAILLEBOURG,,,,,4,TREND,,European Environment Agency,45.83195,-0.64915,,,,,,,,,,,
FRA01057,FRFR05007600,France,River station,LA VERGNE,,,,,12,TREND,,European Environment Agency,45.59469,-0.53647,,,,,,,,,,,
FRA01058,FRFR05008000,France,River station,ST GERMAIN DE LUSIGNAN,,,,,31,TREND,,European Environment Agency,45.45067,-0.45807,,,,,,,,,,,
FRA01059,FRFR05010000,France,River station,ST PARDON D152,,,,,55,TREND,,European Environment Agency,45.3887,-0.30988,,,,,,,,,,,
FRA01060,FRFR05011500,France,River station,LA MAGDELEINE,,,,,43,TREND,,European Environment Agency,45.52176,-0.19052,,,,,,,,,,,
FRA01061,FRFR05011730,France,River station,LUSSAUD,,,,,91,TREND,,European Environment Agency,45.48024,0.05518,,,,,,,,,,,
FRA01062,FRFR05013100,France,River station,LES BRANDES,,,,,13,TREND,,European Environment Agency,45.70954,-0.2707,,,,,,,,,,,
FRA01063,FRFR05013200,France,River station,ST BRICE,,,,,12,TREND,,European Environment Agency,45.6881,-0.28459,,,,,,,,,,,
FRA01064,FRFR05014100,France,River station,BADORIT,,,,,42,TREND,,European Environment Agency,45.59407,0.04509,,,,,,,,,,,
FRA01065,FRFR05015060,France,River station,CHENEUZAC,,,,,26,TREND,,European Environment Agency,45.64572,0.08227,,,,,,,,,,,
FRA01066,FRFR05015100,France,River station,CHARRAUD,,,,,38,TREND,,European Environment Agency,45.63951,0.10472,,,,,,,,,,,
FRA01067,FRFR05015320,France,River station,PUYMERLE,,,,,115,TREND,,European Environment Agency,45.58805,0.21684,,,,,,,,,,,
FRA01068,FRFR05017060,France,River station,PEUSEC,,,,,65,TREND,,European Environment Agency,45.64389,0.2673,,,,,,,,,,,
FRA01069,FRFR05018000,France,River station,ROFFIT,,,,,33,TREND,,European Environment Agency,45.67846,0.15379,,,,,,,,,,,
FRA01070,FRFR05018700,France,River station,CHANTEMERLE,,,,,68,TREND,,European Environment Agency,45.93209,-0.00104,,,,,,,,,,,
FRA01071,FRFR05018800,France,River station,SAINT FRAIGNE,,,,,53,TREND,,European Environment Agency,45.86812,0.05954,,,,,,,,,,,
FRA01072,FRFR05018950,France,River station,LUXE,,,,,76,TREND,,European Environment Agency,45.89611,0.11149,,,,,,,,,,,
FRA01073,FRFR05019930,France,River station,FONCLAIREAU,,,,,60,TREND,,European Environment Agency,45.87385,0.20722,,,,,,,,,,,
FRA01074,FRFR05020000,France,River station,LES PINS,,,,,114,TREND,,European Environment Agency,45.8203,0.39362,,,,,,,,,,,
FRA01075,FRFR05021000,France,River station,VOUTHON,,,,,105,TREND,,European Environment Agency,45.67023,0.462,,,,,,,,,,,
FRA01076,FRFR05021650,France,River station,CHAMPAGNAC,,,,,302,TREND,,European Environment Agency,45.70872,0.90954,,,,,,,,,,,
FRA01077,FRFR05022100,France,River station,VILLEJALEIX,,,,,150,TREND,,European Environment Agency,45.53411,0.62124,,,,,,,,,,,
FRA01078,FRFR05022400,France,River station,POURSAC,,,,,80,TREND,,European Environment Agency,45.96052,0.25554,,,,,,,,,,,
FRA01079,FRFR05022450,France,River station,VIEUX CERIER,,,,,168,TREND,,European Environment Agency,45.96086,0.46722,,,,,,,,,,,
FRA01080,FRFR05024000,France,River station,ST SAVIOL,,,,,116,TREND,,European Environment Agency,46.13608,0.24173,,,,,,,,,,,
FRA01081,FRFR05024300,France,River station,SURIS,,,,,199,TREND,,European Environment Agency,45.84728,0.63733,,,,,,,,,,,
FRA01082,FRFR05025000,France,River station,SAUJON,,,,,5,TREND,,European Environment Agency,45.66545,-0.9121,,,,,,,,,,,
FRA01083,FRFR05025600,France,River station,AZAC,,,,,7,TREND,,European Environment Agency,45.24236,-0.57854,,,,,,,,,,,
FRA01084,FRFR05025830,France,River station,COLINET AVAL,,,GARONNE,,9,TREND,,European Environment Agency,45.09111,-0.46682,,,,,,,,,,,
FRA01085,FRFR05027010,France,River station,LAMOTHE,,,GARONNE,,35,TREND,,European Environment Agency,44.86661,-0.33743,,,,,,,,,,,
FRA01086,FRFR05029000,France,River station,GRIMARD,,,GARONNE,,20,TREND,,European Environment Agency,45.01418,-0.29189,,,,,,,,,,,
FRA01087,FRFR05031600,France,River station,CHAVENAT,,,GARONNE,,115,TREND,,European Environment Agency,45.45384,0.18932,,,,,,,,,,,
FRA01088,FRFR05031850,France,River station,PONTEYRAUD,,,GARONNE,,59,TREND,,European Environment Agency,45.19311,0.24544,,,,,,,,,,,
FRA01089,FRFR05031900,France,River station,BONNES,,,GARONNE,,41,TREND,,European Environment Agency,45.23783,0.15179,,,,,,,,,,,
FRA01090,FRFR05033200,France,River station,JAUFRENIE,,,GARONNE,,83,TREND,,European Environment Agency,45.43584,0.31759,,,,,,,,,,,
FRA01091,FRFR05033700,France,River station,VALEUIL,,,GARONNE,,103,TREND,,European Environment Agency,45.33445,0.61688,,,,,,,,,,,
FRA01092,FRFR05035000,France,River station,ST FRONT,,,GARONNE,,141,TREND,,European Environment Agency,45.47141,0.72243,,,,,,,,,,,
FRA01093,FRFR05035300,France,River station,DOURNAZAC,,,GARONNE,,316,TREND,,European Environment Agency,45.60603,0.92213,,,,,,,,,,,
FRA01094,FRFR05038000,France,River station,BENEVENT,,,GARONNE,,42,TREND,,European Environment Agency,45.02975,0.24682,,,,,,,,,,,
FRA01095,FRFR05039000,France,River station,RAZAC,,,GARONNE,,77,TREND,,European Environment Agency,45.17192,0.59292,,,,,,,,,,,
FRA01096,FRFR05041000,France,River station,CHARRIERAS,,,GARONNE,,94,TREND,,European Environment Agency,45.20202,0.8032,,,,,,,,,,,
FRA01097,FRFR05042000,France,River station,PONT ROGNAC,,,GARONNE,,97,TREND,,European Environment Agency,45.18884,0.85222,,,,,,,,,,,
FRA01098,FRFR05042080,France,River station,SEGUR,,,GARONNE,,305,TREND,,European Environment Agency,45.42881,1.30789,,,,,,,,,,,
FRA01099,FRFR05042085,France,River station,LE MAS,,,GARONNE,,299,TREND,,European Environment Agency,45.41717,1.34905,,,,,,,,,,,
FRA01100,FRFR05044000,France,River station,CORGNAC,,,GARONNE,,129,TREND,,European Environment Agency,45.34794,0.95126,,,,,,,,,,,
FRA01101,FRFR05044300,France,River station,LE CHALARD,,,GARONNE,,330,TREND,,European Environment Agency,45.55816,1.15467,,,,,,,,,,,
FRA01102,FRFR05045250,France,River station,LES CHAILLAUDES,,,GARONNE,,26,TREND,,European Environment Agency,44.88767,0.01671,,,,,,,,,,,
FRA01103,FRFR05046000,France,River station,PESSAC,,,GARONNE,,11,TREND,,European Environment Agency,44.82085,0.07729,,,,,,,,,,,
FRA01104,FRFR05046700,France,River station,BELLEVUE,,,GARONNE,,32,TREND,,European Environment Agency,44.81772,0.26593,,,,,,,,,,,
FRA01105,FRFR05047000,France,River station,GARDONNE,,,GARONNE,,24,TREND,,European Environment Agency,44.83963,0.33201,,,,,,,,,,,
FRA01106,FRFR05047500,France,River station,LES PECHERES,,,GARONNE,,88,TREND,,European Environment Agency,44.8992,0.60067,,,,,,,,,,,
FRA01107,FRFR05047600,France,River station,COURS DE PILE,,,GARONNE,,31,TREND,,European Environment Agency,44.84377,0.52792,,,,,,,,,,,
FRA01108,FRFR05048000,France,River station,BAYAC,,,GARONNE,,96,TREND,,European Environment Agency,44.80409,0.73048,,,,,,,,,,,
FRA01109,FRFR05048210,France,River station,TREMOLAT,,,GARONNE,,48,TREND,,European Environment Agency,44.87305,0.82208,,,,,,,,,,,
FRA01110,FRFR05049000,France,River station,LE BUGUE,,,GARONNE,,61,TREND,,European Environment Agency,44.91754,0.92714,,,,,,,,,,,
FRA01111,FRFR05049950,France,River station,LA GIRBODIE,,,GARONNE,,92,TREND,,European Environment Agency,45.03621,1.1057,,,,,,,,,,,
FRA01112,FRFR05050000,France,River station,THONAC,,,GARONNE,,80,TREND,,European Environment Agency,45.02031,1.11733,,,,,,,,,,,
FRA01113,FRFR05050800,France,River station,SAINT REMY,,,GARONNE,,133,TREND,,European Environment Agency,45.10992,1.12346,,,,,,,,,,,
FRA01114,FRFR05051500,France,River station,TREMOUILLE,,,GARONNE,,101,TREND,,European Environment Agency,45.13762,1.26859,,,,,,,,,,,
FRA01115,FRFR05053100,France,River station,MALEMORT,,,GARONNE,,132,TREND,,European Environment Agency,45.17297,1.57007,,,,,,,,,,,
FRA01116,FRFR05053975,France,River station,TULLE AVAL,,,GARONNE,,240,TREND,,European Environment Agency,45.23326,1.72902,,,,,,,,,,,
FRA01117,FRFR05054600,France,River station,SOLANE,,,GARONNE,,342,TREND,,European Environment Agency,45.29534,1.75609,,,,,,,,,,,
FRA01118,FRFR05055000,France,River station,LES ANGLES,,,GARONNE,,242,TREND,,European Environment Agency,45.30157,1.79772,,,,,,,,,,,
FRA01119,FRFR05055150,France,River station,PONT DU MOUNARD,,,GARONNE,,553,TREND,,European Environment Agency,45.43539,1.86402,,,,,,,,,,,
FRA01120,FRFR05055900,France,River station,CHASSAGNAC,,,GARONNE,,123,TREND,,European Environment Agency,45.21783,1.43803,,,,,,,,,,,
FRA01121,FRFR05055940,France,River station,GRAND GUILLAUME,,,GARONNE,,334,TREND,,European Environment Agency,45.35691,1.35708,,,,,,,,,,,
FRA01122,FRFR05056000,France,River station,ST VIANCE,,,GARONNE,,104,TREND,,European Environment Agency,45.21807,1.45152,,,,,,,,,,,
FRA01123,FRFR05057050,France,River station,CARDERIES,,,GARONNE,,308,TREND,,European Environment Agency,45.41712,1.58306,,,,,,,,,,,
FRA01124,FRFR05057150,France,River station,ORLIANGES,,,GARONNE,,720,TREND,,European Environment Agency,45.61185,1.95621,,,,,,,,,,,
FRA01125,FRFR05058100,France,River station,CAMPAGNE,,,GARONNE,,72,TREND,,European Environment Agency,44.81468,0.99831,,,,,,,,,,,
FRA01126,FRFR05059000,France,River station,CENAC,,,GARONNE,,71,TREND,,European Environment Agency,44.80597,1.20416,,,,,,,,,,,
FRA01127,FRFR05060900,France,River station,ST JULIEN,,,GARONNE,,89,TREND,,European Environment Agency,44.86591,1.35682,,,,,,,,,,,
FRA01128,FRFR05060950,France,River station,SOUILLAC,,,GARONNE,,91,TREND,,European Environment Agency,44.897,1.45759,,,,,,,,,,,
FRA01129,FRFR05061500,France,River station,CARENNAC,,,GARONNE,,120,TREND,,European Environment Agency,44.91565,1.7436,,,,,,,,,,,
FRA01130,FRFR05061900,France,River station,PAULIAC,,,GARONNE,,140,TREND,,European Environment Agency,44.89407,1.78527,,,,,,,,,,,
FRA01131,FRFR05061942,France,River station,MOULIN DE BRAY,,,GARONNE,,491,TREND,,European Environment Agency,44.83779,2.01119,,,,,,,,,,,
FRA01132,FRFR05063000,France,River station,BRETENOUX,,,GARONNE,,137,TREND,,European Environment Agency,44.91632,1.83845,,,,,,,,,,,
FRA01133,FRFR05063950,France,River station,MERCADIER,,,GARONNE,,634,TREND,,European Environment Agency,44.9947,2.42825,,,,,,,,,,,
FRA01134,FRFR05064000,France,River station,SANSAC,,,GARONNE,,567,TREND,,European Environment Agency,44.88212,2.35042,,,,,,,,,,,
FRA01135,FRFR05065000,France,River station,ROUFFIAC,,,GARONNE,,689,TREND,,European Environment Agency,44.97659,2.52381,,,,,,,,,,,
FRA01136,FRFR05066000,France,River station,COMBLAT,,,GARONNE,,654,TREND,,European Environment Agency,44.96544,2.61522,,,,,,,,,,,
FRA01137,FRFR05067000,France,River station,BRIVEZAC,,,GARONNE,,187,TREND,,European Environment Agency,45.02383,1.84382,,,,,,,,,,,
FRA01138,FRFR05067950,France,River station,L HOPITAL,,,GARONNE,,177,TREND,,European Environment Agency,45.07158,1.93972,,,,,,,,,,,
FRA01139,FRFR05068020,France,River station,LES BLATTES,,,GARONNE,,270,TREND,,European Environment Agency,45.05302,1.98949,,,,,,,,,,,
FRA01140,FRFR05068270,France,River station,SOUVIGNE,,,GARONNE,,193,TREND,,European Environment Agency,45.08827,1.9273,,,,,,,,,,,
FRA01141,FRFR05068300,France,River station,ARGENTAT,,,GARONNE,,189,TREND,,European Environment Agency,45.09178,1.94029,,,,,,,,,,,
FRA01142,FRFR05068355,France,River station,PONT DE LA CHAPELLE,,,GARONNE,,232,TREND,,European Environment Agency,45.13293,1.95068,,,,,,,,,,,
FRA01143,FRFR05068400,France,River station,LE PONT ROUGE,,,GARONNE,,359,TREND,,European Environment Agency,45.25375,2.16853,,,,,,,,,,,
FRA01144,FRFR05068470,France,River station,COUADAN,,,GARONNE,,540,TREND,,European Environment Agency,45.41513,2.07853,,,,,,,,,,,
FRA01145,FRFR05068645,France,River station,LA ROCHENIE,,,GARONNE,,772,TREND,,European Environment Agency,45.18508,2.56976,,,,,,,,,,,
FRA01146,FRFR05068700,France,River station,LAVIGNAC,,,GARONNE,,563,TREND,,European Environment Agency,45.43678,2.39571,,,,,,,,,,,
FRA01147,FRFR05068760,France,River station,ENTRAYGUES,,,GARONNE,,596,TREND,,European Environment Agency,45.51484,2.32253,,,,,,,,,,,
FRA01148,FRFR05068890,France,River station,ST THOMAS,,,GARONNE,,471,TREND,,European Environment Agency,45.38097,2.48762,,,,,,,,,,,
FRA01149,FRFR05069000,France,River station,BORT,,,GARONNE,,428,TREND,,European Environment Agency,45.3936,2.49468,,,,,,,,,,,
FRA01150,FRFR05069400,France,River station,SINGLES,,,GARONNE,,604,TREND,,European Environment Agency,45.58553,2.54885,,,,,,,,,,,
FRA01151,FRFR05069900,France,River station,LA CELLETTE,,,GARONNE,,679,TREND,,European Environment Agency,45.63909,2.50769,,,,,,,,,,,
FRA01152,FRFR05071300,France,River station,TAUVES,,,GARONNE,,860,TREND,,European Environment Agency,45.56237,2.63392,,,,,,,,,,,
FRA01153,FRFR05074920,France,River station,LA HANE,,,GARONNE,,66,TREND,,European Environment Agency,44.55981,-0.60643,,,,,,,,,,,
FRA01154,FRFR05076800,France,River station,SAINT SYMPHORIEN,,,GARONNE,,61,TREND,,European Environment Agency,44.42272,-0.49241,,,,,,,,,,,
FRA01155,FRFR05077000,France,River station,LA TRAVE,,,GARONNE,,46,TREND,,European Environment Agency,44.41051,-0.34276,,,,,,,,,,,
FRA01156,FRFR05078900,France,River station,MORIZES,,,GARONNE,,15,TREND,,European Environment Agency,44.6127,-0.087,,,,,,,,,,,
FRA01157,FRFR05079100,France,River station,LOUBENS,,,GARONNE,,31,TREND,,European Environment Agency,44.63192,-0.0334,,,,,,,,,,,
FRA01158,FRFR05080710,France,River station,CASTILLONES,,,GARONNE,,66,TREND,,European Environment Agency,44.67311,0.57808,,,,,,,,,,,
FRA01159,FRFR05081000,France,River station,COUTHURES,,,GARONNE,,18,TREND,,European Environment Agency,44.50953,0.08188,,,,,,,,,,,
FRA01160,FRFR05082000,France,River station,BERNES,,,GARONNE,,24,TREND,,European Environment Agency,44.46735,0.12573,,,,,,,,,,,
FRA01161,FRFR05083580,France,River station,MAS D AGENAIS,,,GARONNE,,35,TREND,,European Environment Agency,44.41137,0.2228,,,,,,,,,,,
FRA01162,FRFR05083585,France,River station,VARES,,,GARONNE,,45,TREND,,European Environment Agency,44.44063,0.38781,,,,,,,,,,,
FRA01163,FRFR05083700,France,River station,CAUBEYRES,,,GARONNE,,94,TREND,,European Environment Agency,44.27112,0.18984,,,,,,,,,,,
FRA01164,FRFR05084000,France,River station,CLAIRAC,,,GARONNE,,33,TREND,,European Environment Agency,44.3581,0.3815,,,,,,,,,,,
FRA01165,FRFR05085000,France,River station,SOUBIROUS,,,GARONNE,,67,TREND,,European Environment Agency,44.46042,0.69178,,,,,,,,,,,
FRA01166,FRFR05085950,France,River station,LACAPELLE BIRON,,,GARONNE,,167,TREND,,European Environment Agency,44.59843,0.89806,,,,,,,,,,,
FRA01167,FRFR05086000,France,River station,CASSENEUIL,,,GARONNE,,48,TREND,,European Environment Agency,44.44127,0.61976,,,,,,,,,,,
FRA01168,FRFR05086280,France,River station,TOURNON,,,GARONNE,,125,TREND,,European Environment Agency,44.39496,0.99592,,,,,,,,,,,
FRA01169,FRFR05088130,France,River station,MONTCABRIER,,,GARONNE,,133,TREND,,European Environment Agency,44.54371,1.07064,,,,,,,,,,,
FRA01170,FRFR05088400,France,River station,PESCADOIRES,,,GARONNE,,87,TREND,,European Environment Agency,44.50753,1.16021,,,,,,,,,,,
FRA01171,FRFR05088450,France,River station,CAMPAGNES,,,GARONNE,,129,TREND,,European Environment Agency,44.51125,1.23216,,,,,,,,,,,
FRA01172,FRFR05090000,France,River station,CABRERETS,,,GARONNE,,161,TREND,,European Environment Agency,44.50767,1.65772,,,,,,,,,,,
FRA01173,FRFR05091560,France,River station,VITRAC,,,GARONNE,,497,TREND,,European Environment Agency,44.78402,2.30137,,,,,,,,,,,
FRA01174,FRFR05092200,France,River station,TOIRAC,,,GARONNE,,210,TREND,,European Environment Agency,44.51928,1.95855,,,,,,,,,,,
FRA01175,FRFR05094810,France,River station,LIVINHAC,,,GARONNE,,194,TREND,,European Environment Agency,44.58554,2.2297,,,,,,,,,,,
FRA01176,FRFR05095000,France,River station,GRAND VABRE,,,GARONNE,,222,TREND,,European Environment Agency,44.63198,2.35584,,,,,,,,,,,
FRA01177,FRFR05096000,France,River station,ENTRAYGUES,,,GARONNE,,263,TREND,,European Environment Agency,44.64981,2.56727,,,,,,,,,,,
FRA01178,FRFR05096050,France,River station,BOUYSSOU,,,GARONNE,,952,TREND,,European Environment Agency,44.68598,2.83788,,,,,,,,,,,
FRA01179,FRFR05096400,France,River station,LAVALETTE,,,GARONNE,,975,TREND,,European Environment Agency,44.96247,2.92656,,,,,,,,,,,
FRA01180,FRFR05096810,France,River station,SAINT JUERY,,,GARONNE,,932,TREND,,European Environment Agency,44.82742,3.08455,,,,,,,,,,,
FRA01181,FRFR05097200,France,River station,BELLEGARDE,,,GARONNE,,781,TREND,,European Environment Agency,45.02967,3.11295,,,,,,,,,,,
FRA01182,FRFR05097500,France,River station,GAYMOND,,,GARONNE,,804,TREND,,European Environment Agency,45.05736,3.06114,,,,,,,,,,,
FRA01183,FRFR05097750,France,River station,GUERLY,,,GARONNE,,784,TREND,,European Environment Agency,44.98365,3.212,,,,,,,,,,,
FRA01184,FRFR05097860,France,River station,LE RAMIO,,,GARONNE,,927,TREND,,European Environment Agency,44.79287,3.35815,,,,,,,,,,,
FRA01185,FRFR05098850,France,River station,LA VILLEDIEU,,,GARONNE,,1333,TREND,,European Environment Agency,44.72056,3.52518,,,,,,,,,,,
FRA01186,FRFR05099000,France,River station,CAMPING,,,GARONNE,,253,TREND,,European Environment Agency,44.64156,2.56944,,,,,,,,,,,
FRA01187,FRFR05099170,France,River station,FLAUJAC,,,GARONNE,,378,TREND,,European Environment Agency,44.53032,2.79218,,,,,,,,,,,
FRA01188,FRFR05100000,France,River station,LA MOTHE,,,GARONNE,,535,TREND,,European Environment Agency,44.44336,3.19897,,,,,,,,,,,
FRA01189,FRFR05101000,France,River station,MORIES,,,GARONNE,,624,TREND,,European Environment Agency,44.49141,3.24567,,,,,,,,,,,
FRA01190,FRFR05101420,France,River station,RECOULES,,,GARONNE,,1010,TREND,,European Environment Agency,44.6457,3.35712,,,,,,,,,,,
FRA01191,FRFR05101600,France,River station,LES AJUSTONS,,,GARONNE,,654,TREND,,European Environment Agency,44.49068,3.24838,,,,,,,,,,,
FRA01192,FRFR05102000,France,River station,BALSIEGES,,,GARONNE,,695,TREND,,European Environment Agency,44.48079,3.4563,,,,,,,,,,,
FRA01193,FRFR05103000,France,River station,BAGNOLS,,,GARONNE,,889,TREND,,European Environment Agency,44.51908,3.63378,,,,,,,,,,,
FRA01194,FRFR05104000,France,River station,ST LEGER,,,GARONNE,,32,TREND,,European Environment Agency,44.2888,0.32043,,,,,,,,,,,
FRA01195,FRFR05104500,France,River station,VIANNE,,,GARONNE,,35,TREND,,European Environment Agency,44.22692,0.334,,,,,,,,,,,
FRA01196,FRFR05105000,France,River station,CAUDEROUE,,,GARONNE,,56,TREND,,European Environment Agency,44.13652,0.29323,,,,,,,,,,,
FRA01197,FRFR05106000,France,River station,MOUCHAN,,,GARONNE,,86,TREND,,European Environment Agency,43.90585,0.29349,,,,,,,,,,,
FRA01198,FRFR05106350,France,River station,MONCLAR SUR LOSSE,,,GARONNE,,171,TREND,,European Environment Agency,43.5306,0.33576,,,,,,,,,,,
FRA01199,FRFR05106820,France,River station,CASSECAYRAT,,,GARONNE,,115,TREND,,European Environment Agency,44.01753,0.06195,,,,,,,,,,,
FRA01200,FRFR05106850,France,River station,PIBEQUE,,,GARONNE,,105,TREND,,European Environment Agency,43.97498,0.06868,,,,,,,,,,,
FRA01201,FRFR05107000,France,River station,BAPAUME,,,GARONNE,,54,TREND,,European Environment Agency,44.14741,0.33587,,,,,,,,,,,
FRA01202,FRFR05109000,France,River station,GRANDE BAISE,,,GARONNE,,122,TREND,,European Environment Agency,43.65785,0.40218,,,,,,,,,,,
FRA01203,FRFR05110000,France,River station,PUNTOUS,,,GARONNE,,276,TREND,,European Environment Agency,43.29868,0.46552,,,,,,,,,,,
FRA01204,FRFR05111500,France,River station,STE MARIE,,,GARONNE,,35,TREND,,European Environment Agency,44.24859,0.39313,,,,,,,,,,,
FRA01205,FRFR05111530,France,River station,GUILLEMOT,,,GARONNE,,79,TREND,,European Environment Agency,44.26614,0.48464,,,,,,,,,,,
FRA01206,FRFR05111620,France,River station,BIDON,,,GARONNE,,115,TREND,,European Environment Agency,43.97912,0.44365,,,,,,,,,,,
FRA01207,FRFR05111650,France,River station,ARASSE,,,GARONNE,,115,TREND,,European Environment Agency,44.28714,0.64303,,,,,,,,,,,
FRA01208,FRFR05114000,France,River station,BIGARRAT,,,GARONNE,,54,TREND,,European Environment Agency,44.11851,0.67309,,,,,,,,,,,
FRA01209,FRFR05115000,France,River station,RAMBERT,,,GARONNE,,120,TREND,,European Environment Agency,43.71769,0.62108,,,,,,,,,,,
FRA01210,FRFR05115600,France,River station,LA COUELLE,,,GARONNE,,278,TREND,,European Environment Agency,43.28349,0.5421,,,,,,,,,,,
FRA01211,FRFR05116100,France,River station,MONTJOIE,,,GARONNE,,87,TREND,,European Environment Agency,44.19314,0.91642,,,,,,,,,,,
FRA01212,FRFR05116650,France,River station,PONT D45,,,GARONNE,,132,TREND,,European Environment Agency,43.90872,0.72926,,,,,,,,,,,
FRA01213,FRFR05117000,France,River station,LAMAGISTERE,,,GARONNE,,54,TREND,,European Environment Agency,44.12341,0.81793,,,,,,,,,,,
FRA01214,FRFR05117500,France,River station,FOURQUET,,,GARONNE,,76,TREND,,European Environment Agency,44.16926,0.9968,,,,,,,,,,,
FRA01215,FRFR05118000,France,River station,ST ANTOINE,,,GARONNE,,67,TREND,,European Environment Agency,44.04117,0.85204,,,,,,,,,,,
FRA01216,FRFR05118950,France,River station,ST NICOLAS,,,GARONNE,,74,TREND,,European Environment Agency,44.09198,1.02826,,,,,,,,,,,
FRA01217,FRFR05119000,France,River station,MOISSAC,,,GARONNE,,70,TREND,,European Environment Agency,44.09136,1.10203,,,,,,,,,,,
FRA01218,FRFR05119050,France,River station,LUNEL,,,GARONNE,,84,TREND,,European Environment Agency,44.13671,1.20383,,,,,,,,,,,
FRA01219,FRFR05119065,France,River station,DIVILLAC,,,GARONNE,,130,TREND,,European Environment Agency,44.23921,1.34084,,,,,,,,,,,
FRA01220,FRFR05120000,France,River station,LOUBEJAC,,,GARONNE,,81,TREND,,European Environment Agency,44.08287,1.34803,,,,,,,,,,,
FRA01221,FRFR05120010,France,River station,REALVILLE,,,GARONNE,,94,TREND,,European Environment Agency,44.11831,1.47283,,,,,,,,,,,
FRA01222,FRFR05120085,France,River station,BASE VERE GRESIGNE,,,GARONNE,,162,TREND,,European Environment Agency,43.97302,1.79172,,,,,,,,,,,
FRA01223,FRFR05120100,France,River station,LAUDUGARIE,,,GARONNE,,274,TREND,,European Environment Agency,44.00316,2.10338,,,,,,,,,,,
FRA01224,FRFR05121000,France,River station,FENEYROLS,,,GARONNE,,133,TREND,,European Environment Agency,44.12922,1.81944,,,,,,,,,,,
FRA01225,FRFR05121350,France,River station,ROUQUETTE,,,GARONNE,,255,TREND,,European Environment Agency,44.22182,1.85307,,,,,,,,,,,
FRA01226,FRFR05122000,France,River station,MILHARS,,,GARONNE,,141,TREND,,European Environment Agency,44.12953,1.87844,,,,,,,,,,,
FRA01227,FRFR05122720,France,River station,LA COSTE,,,GARONNE,,224,TREND,,European Environment Agency,44.04691,2.08087,,,,,,,,,,,
