35.6850,139.7514
-6.1753,106.8269
28.6600,77.2300
29.5500,106.5069
23.1300,113.2600
19.0758,72.8775
14.5958,120.9772
31.2325,121.4692
-23.5504,-46.6339
37.5600,126.9900
39.9040,116.4075
19.3538,-99.1359
22.5675,88.3700
30.6600,104.0633
30.0444,31.2358
24.8600,67.0100
40.6943,-73.9249
23.7289,90.3944
13.7500,100.5167
22.5467,114.0544
55.7506,37.6175
-4.3233,15.3081
-34.5997,-58.3819
6.4561,3.3936
41.0100,28.9603
10.7756,106.7019
34.6938,135.5021
35.6889,51.3897
39.1467,117.2056
31.5497,74.3436
31.3000,120.6194
-22.9111,-43.2056
30.5950,114.2975
13.0825,80.2750
34.2611,108.9422
34.1141,-118.4068
30.2500,120.1675
38.8671,115.4845
51.5072,-0.1275
48.8567,2.3522
35.1041,118.3502
23.0475,113.7493
45.7500,126.6333
17.3617,78.4747
-12.0600,-77.0375
4.6097,-74.0817
36.1167,120.4000
32.9987,112.5292
23.0292,113.1056
32.0608,118.7789
36.6667,116.9833
35.1814,136.9064
34.2610,117.1859
-8.8383,13.2344
33.6250,114.6418
25.8292,114.9336
3.1478,101.6953
35.2333,115.4333
24.9139,118.5858
21.0245,105.8412
41.8375,-87.6866
12.9791,77.5913
35.4000,116.5667
41.8025,123.4281
18.5211,73.8553
32.8986,115.8045
33.3153,44.3661
23.0219,72.5797
-6.8161,39.2803
15.6031,32.5265
34.4259,115.6467
38.9000,121.6000
22.2783,114.1586
38.3037,116.8452
24.6500,46.7100
-6.9218,107.6071
-33.4375,-70.6500
37.0659,114.4753
32.9773,114.0253
21.1967,110.4031
27.3019,105.2863
16.8053,96.1561
33.3500,120.1569
26.8968,112.5857
27.7050,106.9336
27.2418,111.4725
-7.2463,112.7378
21.2050,72.8400
28.4419,117.9633
25.7840,-80.2101
30.4500,114.8750
21.6618,110.9178
35.2992,113.8851
32.1264,114.0672
29.7860,-95.3885
40.4169,-3.7033
1.3000,103.8000
32.7935,-96.7667
25.4500,81.8500
36.4500,115.9833
22.6293,110.1507
29.0397,111.6839
39.9358,32.8387
29.3647,113.1309
40.0077,-75.1339
4.0500,9.7000
25.5102,103.8029
9.0358,38.7525
31.2231,121.5397
32.0654,112.1531
43.7417,-79.3733
34.7492,113.6605
5.3364,-4.0267
37.4513,116.3105
30.7991,106.0784
59.9500,30.3167
23.5533,116.3649
27.8041,114.3830
-1.2864,36.8172
20.6764,-103.3422
36.2001,117.0809
31.2152,107.4947
39.5196,116.7006
-33.8678,151.2100
31.1975,29.8925
46.6384,126.9808
47.3398,123.9512
-37.8142,144.9631
34.5328,69.1658
-19.9281,-43.9419
33.6333,116.9683
25.6844,-100.3181
51.5139,7.4653
33.7628,-84.4220
26.4515,111.5953
22.3350,91.8325
38.9047,-77.0163
24.2850,72.6933
35.0304,110.9980
27.3328,103.7144
25.2819,110.2864
24.5093,117.6612
33.8626,115.7742
33.7350,113.2999
33.9331,118.2831
27.5494,109.9592
27.1172,114.9793
25.2697,55.3094
30.9273,113.9110
29.7048,116.0021
28.7596,104.6400
31.4669,104.7385
34.7950,114.3450
-26.2044,28.0416
41.3825,2.1769
22.5833,113.0833
-33.9253,18.4239
28.1987,112.9709
25.7989,113.0267
21.5428,39.1728
34.4996,109.4684
52.5167,13.3833
34.5906,119.1801
26.4725,80.3311
32.3912,119.4363
32.4831,119.9000
38.4127,27.1384
25.7167,86.4000
37.7348,115.6860
29.9870,31.2118
42.3188,-71.0852
25.0433,102.7061
28.5833,112.3333
23.1144,109.5944
43.8800,125.3228
31.7542,116.5078
34.0244,113.8201
24.2998,116.1191
12.0022,8.5920
40.8108,114.8811
42.2550,118.8825
43.8225,87.6125
23.3539,116.6822
18.4625,-69.9361
28.8918,105.4409
12.6458,-7.9922
31.8639,117.2808
-3.7275,-38.5275
30.5000,117.0333
24.3264,109.4281
23.0500,112.4667
33.5722,-112.0892
38.0425,114.5100
29.8750,121.5492
27.9814,116.3577
27.8407,113.1469
30.7083,111.2803
31.9500,35.9333
32.3062,118.3115
36.0812,111.5087
23.6842,113.0507
34.3297,108.7092
33.5992,-7.6200
27.7378,111.9974
6.7000,-1.6250
31.1289,104.3950
37.8733,112.5425
7.3775,3.9058
34.8667,117.5500
22.8192,108.3150
24.1439,120.6794
42.3834,-83.1024
35.7639,115.0300
9.0556,7.4914
35.4333,139.6500
24.4797,118.0819
29.5872,105.0635
45.5089,-73.5617
26.0769,119.2917
23.9010,106.6194
31.3340,118.3622
47.6211,-122.3244
3.5894,98.6739
38.2655,109.7388
27.9991,120.6561
31.8122,119.9692
35.2290,113.2304
28.6842,115.8872
50.9422,6.9578
22.3000,73.2000
11.1793,77.3760
35.1800,129.0750
40.8151,111.6629
37.7558,-122.4449
39.6294,118.1739
32.6351,110.7755
43.1715,124.3644
26.8470,80.9470
-8.6312,116.3176
36.1953,113.0970
41.1066,122.9895
34.3659,107.3590
34.3609,107.1751
36.2975,59.6059
21.9500,108.6167
26.5794,106.7078
27.7233,109.1885
32.9354,117.3531
31.8576,106.7559
30.5098,105.5737
31.5667,120.2833
10.4799,76.1131
29.5854,103.7575
33.0794,107.0260
25.4394,119.0103
32.2109,119.4551
10.1547,105.5005
31.4180,73.0790
29.1300,78.9500
29.0100,79.5100
-17.7892,-63.1975
26.6617,119.5228
43.6172,122.2640
39.9398,119.5881
41.1144,121.1292
-2.1900,-79.8875
23.7503,114.6923
14.6500,121.0475
26.9150,75.8200
47.4983,19.0408
38.4178,112.7233
36.0617,103.8318
32.8313,-117.1222
12.3686,-1.5275
23.4833,111.3167
37.9842,23.7281
37.4639,126.6486
41.5757,120.4486
32.4831,117.0164
36.7764,3.0586
24.8011,113.5927
-15.7939,-47.8828
29.3750,47.9800
34.5809,105.7311
35.4164,119.4331
27.9945,-82.4447
15.3500,44.2000
41.3111,69.2797
30.0575,103.8381
50.4500,30.5236
10.6167,76.5333
44.9635,-93.2678
3.4400,-76.5197
18.5469,-72.3403
22.5333,113.3500
37.5000,122.1000
46.5979,125.0080
40.1913,29.0805
-6.1209,23.5967
20.0200,110.3200
27.8431,112.9228
39.0167,125.7475
22.1497,-100.9750
-4.2694,15.2711
15.6835,32.4629
44.5861,129.5997
48.7775,9.1800
41.8931,12.4828
22.7664,115.3331
40.6501,-73.9496
22.6150,120.2975
-5.0903,-42.8167
25.0881,117.0244
42.2841,123.8365
39.7620,-104.8758
40.6562,109.8345
36.6116,114.4894
-27.4678,153.0278
35.5806,104.6263
33.5131,36.2919
26.6448,118.1728
29.3498,104.7645
23.9889,90.3750
23.6700,116.6300
36.7167,119.1000
33.5886,119.0192
36.7831,118.0497
40.7094,120.8378
48.1375,11.5750
26.0865,119.2980
21.8556,111.9627
30.1256,104.6397
52.4800,-1.9025
46.8081,130.3653
6.2502,-75.5676
30.0000,120.5833
37.4644,121.4478
23.1115,114.4152
28.4500,119.9167
30.9475,118.7518
22.1688,81.6042
53.5500,10.0000
32.6877,109.0235
23.1367,-82.3589
26.2658,117.6302
19.2922,-99.6539
30.2018,115.0326
26.2456,105.9340
36.6239,101.7787
-15.4167,28.2833
40.1167,124.3833
35.8717,128.6017
25.0375,121.5625
3.8578,11.5181
22.2742,113.5719
25.1211,99.1690
40.6653,122.2297
21.4225,39.8261
36.9081,30.6956
49.2500,-123.1000
40.7643,120.8533
33.8869,35.5131
-12.9831,-38.4928
44.4134,26.0978
21.1497,79.0806
40.7498,-73.7976
22.9242,112.0353
-6.2333,107.0000
26.1806,91.7502
28.6667,77.4167
34.6587,112.4245
33.5830,114.0109
33.9381,-117.3949
6.9267,79.8606
50.1106,8.6822
-3.1189,-60.0217
40.3667,49.8352
-18.9100,47.5250
36.2333,-115.2654
33.5901,130.4017
36.5952,109.4863
40.2197,116.2255
31.9829,120.8873
23.8864,100.0871
24.3495,102.5432
10.5061,-66.9144
-6.1703,106.6403
23.7333,109.2333
37.8728,32.4921
43.2400,76.9150
48.2083,16.3725
32.6525,51.6750
35.7278,107.6400
39.3051,-76.6144
35.4906,112.8483
37.4500,118.4667
6.1300,1.2158
-22.9009,-47.0573
30.7758,106.1029
6.2000,7.0667
28.6583,121.4221
31.6858,118.5101
-17.8292,31.0522
-31.9558,115.8597
11.0008,76.9633
38.6359,-90.2451
11.5696,104.9210
20.8000,106.6667
2.0392,45.3419
23.2993,116.1586
45.5371,-122.6500
22.3167,114.1833
8.9711,-79.5347
6.9042,122.0761
22.4167,107.3667
33.6007,73.0679
29.4632,-98.5238
24.4164,111.5478
35.5412,106.6819
-16.4958,-68.1333
24.8141,118.5792
25.6100,85.1414
22.2969,70.7984
33.8680,109.9244
17.6939,83.2922
34.7736,111.1950
45.6148,122.8320
52.2300,21.0111
32.1500,74.1833
36.2000,37.1600
32.5364,-117.0372
53.9022,27.5618
22.7186,75.8550
37.1583,38.7917
38.5677,-121.4685
35.8328,50.9917
-5.8961,22.4167
33.9562,116.7890
34.0144,71.5675
43.0619,141.3544
10.1667,-68.0000
28.4773,-81.3370
30.3005,-97.7522
27.6333,113.8500
31.0152,121.2291
38.4850,106.2250
30.6667,76.8333
29.9333,77.9000
19.1800,72.9633
22.9900,120.1850
30.1978,71.4711
4.7655,7.0163
45.2937,130.9650
41.8708,123.8917
29.3081,120.0698
41.2643,123.1772
21.4667,109.1000
7.0662,125.6094
30.1697,121.2665
37.3012,-121.8480
42.0127,121.6486
37.9278,102.6329
18.3985,-66.0610
23.2500,77.4167
36.3667,43.1167
-34.9059,-56.1913
-11.6642,27.4828
5.5560,-0.1969
6.3176,5.6145
-25.4297,-49.2719
34.1000,118.7333
39.7771,-86.1458
36.9866,35.3387
-0.2200,-78.5125
27.1800,78.0200
8.5674,78.1046
-1.9525,30.1150
25.3792,68.3683
37.9108,40.2367
40.4397,-79.9763
18.6278,73.8131
39.1413,-84.5060
23.6140,58.5911
45.7675,4.8350
39.1238,-94.5541
39.3408,112.4292
14.6500,120.9667
41.2920,123.7610
36.5448,104.1766
30.3331,77.9608
41.4764,-81.6805
40.7834,-73.9662
37.0628,37.3792
0.3136,32.5811
30.7458,108.4310
31.6500,120.7333
29.2942,117.2036
9.5092,-13.7122
19.5991,-99.0492
-20.0744,30.8328
55.0333,82.9167
43.2967,5.3764
39.9862,-82.9855
-6.9900,110.4225
30.9083,75.8486
31.9087,120.2653
39.4700,-0.3764
21.1219,-101.6833
19.0413,-98.2062
35.0833,117.1500
